co_barcode_cluster_id,gene_id,count
ENSG00000306955,ENSG00000306955,9
ENSG00000306993,ENSG00000306993,8
ENSG00000307165,ENSG00000307165,1
ENSG00000307221,ENSG00000307221,1
ENSG00000307305,ENSG00000307305,20
ENSG00000307365,ENSG00000307365,1322
ENSG00000307538,ENSG00000307538,38
ENSG00000307555,ENSG00000307555,6
ENSG00000307556,ENSG00000307556,9
ENSG00000307561,ENSG00000307561,109
ENSG00000307596,ENSG00000307596,85
ENSG00000307604,ENSG00000307604,6
ENSG00000307622,ENSG00000307622,280
ENSG00000307633,ENSG00000307633,9
ENSG00000307640,ENSG00000307640,11
ENSG00000307654,ENSG00000307654,4
ENSG00000307679,ENSG00000307679,2
ENSG00000307720,ENSG00000307720,3
ENSG00000307761,ENSG00000307761,11
ENSG00000307798,ENSG00000307798,165
ENSG00000307819,ENSG00000307819,26
ENSG00000307847,ENSG00000307847,7
ENSG00000307862,ENSG00000307862,11
ENSG00000307928,ENSG00000307928,10
ENSG00000308374,ENSG00000308374,1
ENSG00000308395,ENSG00000308395,1
ENSG00000308444,ENSG00000308444,13
ENSG00000308520,ENSG00000308520,2
ENSG00000308539,ENSG00000308539,7
ENSG00000308679,ENSG00000308679,4
ENSG00000308760,ENSG00000308760,13
ENSG00000308779,ENSG00000308779,15
ENSG00000308781,ENSG00000308781,8
ENSG00000308791,ENSG00000308791,11
ENSG00000308799,ENSG00000308799,5
ENSG00000309048,ENSG00000309048,8
ENSG00000309254,ENSG00000309254,627
ENSG00000309298,ENSG00000309298,50
ENSG00000309348,ENSG00000309348,1
ENSG00000309455,ENSG00000309455,383
ENSG00000309628,ENSG00000309628,8
ENSG00000309667,ENSG00000309667,2
ENSG00000309773,ENSG00000309773,2
ENSG00000309895,ENSG00000309895,15
ENSG00000309920,ENSG00000309920,7
ENSG00000309931,ENSG00000309931,15
ENSG00000309947,ENSG00000309947,2
ENSG00000309962,ENSG00000309962,6
ENSG00000310037,ENSG00000310037,28
ENSG00000310052,ENSG00000310052,79
ENSG00000310070,ENSG00000310070,82
ENSG00000310096,ENSG00000310096,3
ENSG00000310179,ENSG00000310179,10
ENSG00000310236,ENSG00000310236,33
ENSG00000310243,ENSG00000310243,11
ENSG00000310416,ENSG00000310416,309
ENTHD1,ENTHD1,86
EP300,EP300,14137
EP300-AS1,EP300-AS1,118
EPIC1,EPIC1,232
ESS2,ESS2,12931
ETFRF1P1,ETFRF1P1,43
EWSR1,EWSR1,150534
FAM118A,FAM118A,4974
FAM136EP,FAM136EP,16
FAM227A,FAM227A,310
FAM230A,FAM230A,3
FAM230B,FAM230B,13
FAM230D,FAM230D,6
FAM230E,FAM230E,2
FAM230F,FAM230F,7
FAM230G,FAM230G,11
FAM230H,FAM230H,9
FAM230I,FAM230I,44
FAM246A,FAM246A,36
FAM246B,FAM246B,20
FAM246C,FAM246C,48
FAM247A,FAM247A,193
FAM247B,FAM247B,13
FAM32BP,FAM32BP,666
FAM83F,FAM83F,169
FBLN1,FBLN1,252
FBXO7,FBXO7,58453
FBXW4P1,FBXW4P1,173
FOXRED2,FOXRED2,1542
FRG1FP,FRG1FP,2
FRG1GP,FRG1GP,16
FUNDC2P4,FUNDC2P4,20
GAB4,GAB4,30
GAL3ST1,GAL3ST1,138
GALR3,GALR3,92
GAPDHP37,GAPDHP37,14
GAS2L1,GAS2L1,9433
GCAT,GCAT,1533
GGA1,GGA1,13383
GGT1,GGT1,193
GGT2P,GGT2P,5
GGT5,GGT5,96
GGTLC2,GGTLC2,29
GGTLC3,GGTLC3,24
GGTLC5P,GGTLC5P,20
GNAZ,GNAZ,2287
GNB1L,GNB1L,3868
GOLGA2P4,GOLGA2P4,1
GP1BB,GP1BB,93
GRAMD4,GRAMD4,5233
GRAMD4P2,GRAMD4P2,11
GRAP2,GRAP2,41587
GRK3,GRK3,4937
GRK3-AS1,GRK3-AS1,14
GSC2,GSC2,66
GSTT2,GSTT2,27
GSTT2B,GSTT2B,33
GSTT3P,GSTT3P,48
GSTT4,GSTT4,72
GTPBP1,GTPBP1,9936
GTSE1,GTSE1,2474
GTSE1-DT,GTSE1-DT,195
GUCD1,GUCD1,23801
GUSBP11,GUSBP11,1287
H1-0,H1-0,116572
H2AZP6,H2AZP6,30
HDAC10,HDAC10,43
HDHD5,HDHD5,35819
HDHD5-AS1,HDHD5-AS1,40
HIC2,HIC2,1512
HIRA,HIRA,3267
HMGN2P10,HMGN2P10,305
HMGN2P9,HMGN2P9,85
HMGXB4,HMGXB4,7228
HMOX1,HMOX1,37331
HORMAD2,HORMAD2,14
HORMAD2-AS1,HORMAD2-AS1,145
HPS4,HPS4,7069
HSCB,HSCB,3605
IFT27,IFT27,6610
IGKV1OR22-1,IGKV1OR22-1,13
IGKV1OR22-5,IGKV1OR22-5,31
IGKV2OR22-3,IGKV2OR22-3,24
IGKV2OR22-4,IGKV2OR22-4,27
IGKV3OR22-2,IGKV3OR22-2,16
IGLC2,IGLC2,110659
IGLC3,IGLC3,21538
IGLC4,IGLC4,98
IGLC5,IGLC5,210
IGLC6,IGLC6,384
IGLC7,IGLC7,260
IGLCOR22-1,IGLCOR22-1,24
IGLCOR22-2,IGLCOR22-2,13
IGLJ2,IGLJ2,905
IGLJ3,IGLJ3,1966
IGLJ5,IGLJ5,9
IGLJ6,IGLJ6,21
IGLJ7,IGLJ7,15
IGLL1,IGLL1,74
IGLL5,IGLL5,1828
IGLV1-36,IGLV1-36,1161
IGLV1-40,IGLV1-40,17872
IGLV1-41,IGLV1-41,22
IGLV1-44,IGLV1-44,20251
IGLV1-47,IGLV1-47,85662
IGLV1-50,IGLV1-50,90
IGLV1-51,IGLV1-51,261
IGLV1-62,IGLV1-62,258
IGLV10-54,IGLV10-54,1102
IGLV11-55,IGLV11-55,10
IGLV2-11,IGLV2-11,9037
IGLV2-14,IGLV2-14,24943
IGLV2-18,IGLV2-18,1553
IGLV2-23,IGLV2-23,11604
IGLV2-28,IGLV2-28,651
IGLV2-33,IGLV2-33,47
IGLV2-34,IGLV2-34,93
IGLV2-5,IGLV2-5,1632
IGLV2-8,IGLV2-8,4256
IGLV3-1,IGLV3-1,12640
IGLV3-10,IGLV3-10,1656
IGLV3-12,IGLV3-12,69
IGLV3-13,IGLV3-13,64
IGLV3-15,IGLV3-15,6
IGLV3-16,IGLV3-16,1008
IGLV3-17,IGLV3-17,31
IGLV3-19,IGLV3-19,6677
IGLV3-2,IGLV3-2,4
IGLV3-21,IGLV3-21,14899
IGLV3-22,IGLV3-22,103
IGLV3-24,IGLV3-24,21
IGLV3-25,IGLV3-25,183784
IGLV3-26,IGLV3-26,15
IGLV3-27,IGLV3-27,1066
IGLV3-29,IGLV3-29,58
IGLV3-30,IGLV3-30,13
IGLV3-31,IGLV3-31,11
IGLV3-32,IGLV3-32,36
IGLV3-4,IGLV3-4,13
IGLV3-6,IGLV3-6,60
IGLV3-7,IGLV3-7,14
IGLV3-9,IGLV3-9,8399
IGLV4-3,IGLV4-3,333
IGLV4-60,IGLV4-60,395
IGLV4-69,IGLV4-69,4631
IGLV5-37,IGLV5-37,213
IGLV5-45,IGLV5-45,1929
IGLV5-48,IGLV5-48,53
IGLV5-52,IGLV5-52,1
IGLV6-57,IGLV6-57,28650
IGLV7-35,IGLV7-35,22
IGLV7-43,IGLV7-43,1054
IGLV7-46,IGLV7-46,1204
IGLV8-61,IGLV8-61,11095
IGLV9-49,IGLV9-49,2251
IGLVI-20,IGLVI-20,14
IGLVI-38,IGLVI-38,21
IGLVI-42,IGLVI-42,25
IGLVI-56,IGLVI-56,4
IGLVI-63,IGLVI-63,44
IGLVI-68,IGLVI-68,2
IGLVI-70,IGLVI-70,206
IGLVIV-53,IGLVIV-53,12
IGLVIV-64,IGLVIV-64,9
IGLVIV-66-1,IGLVIV-66-1,3
IGLVIVOR22-1,IGLVIVOR22-1,2
IGLVIVOR22-2,IGLVIVOR22-2,4
IGLVV-58,IGLVV-58,10
IGLVV-66,IGLVV-66,15
IGLVVI-25-1,IGLVVI-25-1,6
IGLVVII-41-1,IGLVVII-41-1,10
IL17RA,IL17RA,63816
IL17REL,IL17REL,100
IL2RB,IL2RB,44776
IL2RB-AS1,IL2RB-AS1,81
IL9RP6,IL9RP6,7
INPP5J,INPP5J,217
ISCA2P1,ISCA2P1,77
ISX,ISX,58
JOSD1,JOSD1,3715
JTBP1,JTBP1,4
KCNJ4,KCNJ4,150
KCNMB3P1,KCNMB3P1,7
KCTD17,KCTD17,2825
KDELR3,KDELR3,381
KIAA0930,KIAA0930,39595
KIAA1671,KIAA1671,287
KIAA1671-AS1,KIAA1671-AS1,4
KLHDC7B,KLHDC7B,22159
KLHDC7B-DT,KLHDC7B-DT,1984
KLHL12P1,KLHL12P1,185
KLHL22,KLHL22,5207
KLHL5P1,KLHL5P1,35
KREMEN1,KREMEN1,817
KRT18P23,KRT18P23,13
KRT18P5,KRT18P5,58
KRT18P62,KRT18P62,8
L3MBTL2,L3MBTL2,6269
L3MBTL2-AS1,L3MBTL2-AS1,302
LARGE-AS1,LARGE-AS1,23
LARGE-IT1,LARGE-IT1,3
LARGE1,LARGE1,1802
LARGE1-AS1,LARGE1-AS1,3
LGALS1,LGALS1,101619
LGALS2,LGALS2,12315
LHFPL7,LHFPL7,3
LIF,LIF,83
LIF-AS1,LIF-AS1,4
LIF-AS2,LIF-AS2,23
LIMK2,LIMK2,26516
LINC00207,LINC00207,7
LINC00229,LINC00229,34
LINC00528,LINC00528,4731
LINC00895,LINC00895,23
LINC00896,LINC00896,60
LINC00898,LINC00898,49
LINC00899,LINC00899,1123
LINC01222,LINC01222,2
LINC01310,LINC01310,61
LINC01311,LINC01311,104
LINC01315,LINC01315,185
LINC01399,LINC01399,32
LINC01521,LINC01521,302
LINC01589,LINC01589,30
LINC01634,LINC01634,8
LINC01637,LINC01637,630
LINC01638,LINC01638,17
LINC01639,LINC01639,23
LINC01640,LINC01640,10
LINC01643,LINC01643,15
LINC01644,LINC01644,116
LINC01651,LINC01651,2
LINC01656,LINC01656,11
LINC01659,LINC01659,101
LINC01664,LINC01664,398
LINC01665,LINC01665,7
LINC02554,LINC02554,38
LINC02556,LINC02556,6
LINC02557,LINC02557,1
LINC02558,LINC02558,10
LINC02559,LINC02559,7
LINC02885,LINC02885,41
LINC02891,LINC02891,55
LINC02925,LINC02925,54
LINC02939,LINC02939,129
LL22NC01-81G9.3,LL22NC01-81G9.3,25
LL22NC03-63E9.3,LL22NC03-63E9.3,20
LMF2,LMF2,17152
LRRC37A14P,LRRC37A14P,17
LRRC74B,LRRC74B,43
LRRC75B,LRRC75B,421
LZTR1,LZTR1,446
MAFF,MAFF,4854
MAPK1,MAPK1,33166
MAPK11,MAPK11,627
MAPK12,MAPK12,1603
MAPK8IP2,MAPK8IP2,567
MB,MB,25
MCAT,MCAT,5457
MCHR1,MCHR1,26
MCM5,MCM5,26854
MED15,MED15,22279
MEI1,MEI1,18164
MFNG,MFNG,107133
MGAT3,MGAT3,1375
MGAT3-AS1,MGAT3-AS1,162
MIAT,MIAT,429
MIATNB,MIATNB,3591
MICAL3,MICAL3,709
MICALL1,MICALL1,3106
MIEF1,MIEF1,5460
MIF,MIF,54
MIF-AS1,MIF-AS1,15
MIOX,MIOX,69
MIR1249,MIR1249,4
MIR1286,MIR1286,1
MIR181A1HG,MIR181A1HG,907
MIR3198-1,MIR3198-1,21
MIR3619,MIR3619,2
MIR3667HG,MIR3667HG,3706
MIR3928,MIR3928,7
MIR4534,MIR4534,4
MIR4762,MIR4762,1
MIR4764,MIR4764,1
MIR4766,MIR4766,1
MIR548J,MIR548J,3
MIR5571,MIR5571,2
MIR6069,MIR6069,1
MIR659,MIR659,16
MIR6816,MIR6816,1
MIR6889,MIR6889,4
MIRLET7BHG,MIRLET7BHG,1535
MLC1,MLC1,3317
MMP11,MMP11,348
MN1,MN1,172
MORC2,MORC2,6994
MORC2-AS1,MORC2-AS1,52
MOV10L1,MOV10L1,173
MPPE1P2,MPPE1P2,1393
MPPED1,MPPED1,76
MPST,MPST,7533
MRPL40,MRPL40,15151
MRPS16P3,MRPS16P3,3
MRPS18CP6,MRPS18CP6,26
MRTFA,MRTFA,20316
MRTFA-AS1,MRTFA-AS1,24
MTCO1P20,MTCO1P20,5
MTCO2P20,MTCO2P20,2
MTCO3P20,MTCO3P20,1
MTCYBP34,MTCYBP34,5
MTFP1,MTFP1,1667
MTFR2P2,MTFR2P2,2
MTMR3,MTMR3,22392
MTND1P10,MTND1P10,5
MTND1P17,MTND1P17,2
MYH9,MYH9,153092
MYH9-DT,MYH9-DT,297
MYO18B,MYO18B,137
MYO18B-AS1,MYO18B-AS1,37
Metazoa_SRP,Metazoa_SRP,52
NAGA,NAGA,45228
NCAPH2,NCAPH2,9042
NCF4,NCF4,135998
NCF4-AS1,NCF4-AS1,55
NDUFA6,NDUFA6,13881
NDUFA6-DT,NDUFA6-DT,204
NDUFA9P1,NDUFA9P1,519
NEFH,NEFH,1408
NEK2P2,NEK2P2,4
NEK7,NEK7,73416
NF2,NF2,30093
NFAM1,NFAM1,26507
NHIP,NHIP,47
NIPSNAP1,NIPSNAP1,16073
NOL12,NOL12,1207
NPTXR,NPTXR,421
NUP50,NUP50,72187
NUP50-DT,NUP50-DT,3502
OGFRP1,OGFRP1,338
OLA1P1,OLA1P1,1548
OSBP2,OSBP2,2778
OSM,OSM,5359
P2RX6,P2RX6,54
PABPC1P9,PABPC1P9,3
PACSIN2,PACSIN2,38363
PANX2,PANX2,2678
PARP4P3,PARP4P3,10
PARVB,PARVB,41819
PARVG,PARVG,34617
PATZ1,PATZ1,5219
PCAT14,PCAT14,87
PDGFB,PDGFB,1147
PDXP,PDXP,3871
PDXP-DT,PDXP-DT,41
PEBP1P3,PEBP1P3,505
PES1,PES1,28437
PES1-AS1,PES1-AS1,4
PEX26,PEX26,2368
PHETA2,PHETA2,1899
PHF10P2,PHF10P2,119
PHF21B,PHF21B,195
PHF5A,PHF5A,22726
PI4KA,PI4KA,5790
PI4KAP1,PI4KAP1,396
PICK1,PICK1,1676
PIK3IP1,PIK3IP1,69766
PIK3IP1-DT,PIK3IP1-DT,182
PIM3,PIM3,45396
PISD,PISD,14684
PITPNB,PITPNB,37230
PIWIL3,PIWIL3,29
PKDREJ,PKDREJ,147
PLA2G3,PLA2G3,35
PLA2G6,PLA2G6,825
PLXNB2,PLXNB2,7362
PMM1,PMM1,5429
PNPLA3,PNPLA3,66
PNPLA5,PNPLA5,76
POLDIP3,POLDIP3,6
POLR2F,POLR2F,21662
POLR3H,POLR3H,7537
POM121L10P,POM121L10P,3
POM121L15P,POM121L15P,61
POM121L1P,POM121L1P,8
POM121L7P,POM121L7P,12
POM121L8P,POM121L8P,5
POM121L9P,POM121L9P,72
POTEH,POTEH,2
POTEH-AS1,POTEH-AS1,1
PPARA,PPARA,4181
PPIL2,PPIL2,8789
PPM1F,PPM1F,12731
PPM1F-AS1,PPM1F-AS1,1533
PPP1R26P2,PPP1R26P2,18
PPP1R26P3,PPP1R26P3,28
PPP1R26P4,PPP1R26P4,11
PPP1R26P5,PPP1R26P5,27
PPP6R2,PPP6R2,10539
PRAME,PRAME,201
PRAMENP,PRAMENP,69
PRDX3P1,PRDX3P1,781
PRODH,PRODH,86
PRODHLP,PRODHLP,117
PRR13P1,PRR13P1,81
PRR14L,PRR14L,6461
PRR34,PRR34,205
PRR5,PRR5,1688
PRR5-ARHGAP8,PRR5-ARHGAP8,2
PSLNR,PSLNR,7
PTPRC,PTPRC,229681
PTPRC-AS1,PTPRC-AS1,466
PVALB,PVALB,248
RAB36,RAB36,432
RABL2B,RABL2B,8471
RAC2,RAC2,463585
RANBP1,RANBP1,74475
RANGAP1,RANGAP1,21858
RASD2,RASD2,132
RASL10A,RASL10A,195
RBFOX2,RBFOX2,682
RBX1,RBX1,80991
RFKP4,RFKP4,11
RFPL1S,RFPL1S,260
RFPL2,RFPL2,209
RFPL3,RFPL3,7
RFPL3S,RFPL3S,46
RFPL4AP6,RFPL4AP6,3
RGL4,RGL4,44879
RGL4P1,RGL4P1,147
RHBDD3,RHBDD3,2500
RHEBP3,RHEBP3,1
RIBC2,RIBC2,144
RIMBP3,RIMBP3,189
RIMBP3B,RIMBP3B,272
RIMBP3C,RIMBP3C,113
RN7SKP169,RN7SKP169,1
RN7SKP214,RN7SKP214,5
RN7SKP221,RN7SKP221,7
RN7SKP252,RN7SKP252,2
RN7SKP80,RN7SKP80,49
RN7SL162P,RN7SL162P,7
RN7SL20P,RN7SL20P,7
RN7SL263P,RN7SL263P,16
RN7SL268P,RN7SL268P,7
RN7SL385P,RN7SL385P,3
RN7SL704P,RN7SL704P,3
RN7SL757P,RN7SL757P,5
RN7SL812P,RN7SL812P,1
RN7SL843P,RN7SL843P,2
RNA5SP493,RNA5SP493,2
RNA5SP494,RNA5SP494,7
RNF185,RNF185,9135
RNF215,RNF215,379
RNU6-1128P,RNU6-1128P,8
RNU6-1161P,RNU6-1161P,1
RNU6-375P,RNU6-375P,10
RNU6-379P,RNU6-379P,10
RNU6-476P,RNU6-476P,9
RNU6-495P,RNU6-495P,1
RNU6-564P,RNU6-564P,5
RNU6ATAC22P,RNU6ATAC22P,2
RNY1P9,RNY1P9,16
RPEP4,RPEP4,69
RPL13AP26,RPL13AP26,523
RPL15P22,RPL15P22,2434
RPL17P52,RPL17P52,9
RPL28P6,RPL28P6,42
RPL3,RPL3,832826
RPL31P62,RPL31P62,8
RPL32P5,RPL32P5,42
RPL34P35,RPL34P35,29
RPL35AP36,RPL35AP36,164
RPL35P8,RPL35P8,42
RPL36P17,RPL36P17,7
RPL39P41,RPL39P41,11
RPL4P6,RPL4P6,131
RPL5P34,RPL5P34,1114
RPL5P35,RPL5P35,20
RPL7AP70,RPL7AP70,1195
RPL7P52,RPL7P52,151
RPL8P5,RPL8P5,14
RPS10P29,RPS10P29,27
RPS10P30,RPS10P30,19
RPS15AP37,RPS15AP37,17
RPS15AP38,RPS15AP38,168
RPS17P16,RPS17P16,2449
RPS18P14,RPS18P14,117
RPS19BP1,RPS19BP1,24186
RPS25P10,RPS25P10,68
RPS26P59,RPS26P59,12
RPS29P31,RPS29P31,2
RPS3AP51,RPS3AP51,23
RPS3AP55,RPS3AP55,44
RPS9P2,RPS9P2,3634
RRP7A,RRP7A,37366
RRP7BP,RRP7BP,2252
RSPH14,RSPH14,148
RTCB,RTCB,78991
RTL10,RTL10,6162
RTL6,RTL6,994
RTN4R,RTN4R,892
SAMM50,SAMM50,17359
SBF1,SBF1,6556
SCARF2,SCARF2,577
SCO2,SCO2,1142
SCUBE1,SCUBE1,179
SCUBE1-AS1,SCUBE1-AS1,19
SCUBE1-AS2,SCUBE1-AS2,4
SDC4P,SDC4P,14
SDF2L1,SDF2L1,20509
SEC14L2,SEC14L2,739
SEC14L3,SEC14L3,34
SEC14L4,SEC14L4,38
SEC14L6,SEC14L6,42
SELENOM,SELENOM,6163
SELENOO,SELENOO,6452
SELENOO-AS1,SELENOO-AS1,95
SEPTIN3,SEPTIN3,205
SEPTIN5,SEPTIN5,214
SERHL,SERHL,31
SERHL2,SERHL2,160
SERPIND1,SERPIND1,460
SEZ6L,SEZ6L,435
SEZ6L-AS1,SEZ6L-AS1,19
SF3A1,SF3A1,47804
SFI1,SFI1,5665
SGSM1,SGSM1,211
SGSM3,SGSM3,121
SGSM3-AS1,SGSM3-AS1,176
SH3BP1,SH3BP1,6644
SHANK3,SHANK3,822
SHISA8,SHISA8,784
SHISAL1,SHISAL1,121
SIRPAP1,SIRPAP1,537
SKP1P4,SKP1P4,13
SLC16A8,SLC16A8,80
SLC25A1,SLC25A1,18370
SLC25A15P5,SLC25A15P5,2
SLC25A17,SLC25A17,24134
SLC25A18,SLC25A18,139
SLC25A5P1,SLC25A5P1,1
SLC2A11,SLC2A11,245
SLC35E4,SLC35E4,1833
SLC39A1P1,SLC39A1P1,6
SLC5A1,SLC5A1,34
SLC5A4,SLC5A4,16
SLC5A4-AS1,SLC5A4-AS1,13
SLC7A4,SLC7A4,33
SLC9A3P2,SLC9A3P2,2
SLC9B1P4,SLC9B1P4,3
SMARCB1,SMARCB1,47191
SMC1B,SMC1B,85
SMDT1,SMDT1,12213
SMIM45,SMIM45,197
SMPD4P1,SMPD4P1,23
SMTN,SMTN,1981
SNAP29,SNAP29,25341
SNORD83A,SNORD83A,9
SNRPA1P2,SNRPA1P2,2009
SNRPD3,SNRPD3,2698
SNRPNP2,SNRPNP2,62
SNU13,SNU13,69275
SOX10,SOX10,158
SPECC1L,SPECC1L,2696
SPECC1L-ADORA2A,SPECC1L-ADORA2A,2
SREBF2,SREBF2,16938
SREBF2-AS1,SREBF2-AS1,323
SRRD,SRRD,5466
SSBP3P3,SSBP3P3,3
SSTR3,SSTR3,894
ST13,ST13,56949
STMN3P1,STMN3P1,10
SULT4A1,SULT4A1,48
SUN2,SUN2,32631
SUSD2,SUSD2,73
SUSD2P1,SUSD2P1,15
SUSD2P2,SUSD2P2,3
SYCE3,SYCE3,256
SYN3,SYN3,93
SYN3-AS1,SYN3-AS1,4
SYNGR1,SYNGR1,13227
TAB1,TAB1,9594
TAFA5,TAFA5,268
TANGO2,TANGO2,7330
TBC1D10A,TBC1D10A,8563
TBC1D22A,TBC1D22A,12437
TBC1D22A-AS1,TBC1D22A-AS1,19
TBC1D22A-DT,TBC1D22A-DT,1870
TBX1,TBX1,247
TCF20,TCF20,3639
TCN2,TCN2,27118
TEF,TEF,1429
TERF2IPP1,TERF2IPP1,28
TFIP11,TFIP11,16551
TFIP11-DT,TFIP11-DT,1639
THAP7,THAP7,13856
THAP7-AS1,THAP7-AS1,1466
THOC5,THOC5,7646
TIMP3,TIMP3,2145
TMA7B,TMA7B,1985
TMEM121B,TMEM121B,1604
TMEM184B,TMEM184B,7358
TMEM191A,TMEM191A,414
TMEM191B,TMEM191B,546
TMEM191C,TMEM191C,600
TMPRSS6,TMPRSS6,210
TNFRSF13C,TNFRSF13C,22056
TNRC6B,TNRC6B,36764
TNRC6B-DT,TNRC6B-DT,63
TOB2,TOB2,12510
TOM1,TOM1,47793
TOMM22,TOMM22,33654
TOMM22-DT,TOMM22-DT,117
TOMM40P2,TOMM40P2,369
TOP3B,TOP3B,23
TOP3BP1,TOP3BP1,14
TPST2,TPST2,66280
TPTEP1,TPTEP1,3121
TPTEP2,TPTEP2,14
TPTEP2-CSNK1E,TPTEP2-CSNK1E,5
TRABD,TRABD,18372
TRABD-AS1,TRABD-AS1,971
TRIOBP,TRIOBP,51480
TRMT112P8,TRMT112P8,27
TRMT2A,TRMT2A,7137
TRMU,TRMU,9610
TRNT1P2,TRNT1P2,5
TSPO,TSPO,106394
TST,TST,3814
TTC28,TTC28,312
TTC28-AS1,TTC28-AS1,1115
TTC38,TTC38,19948
TTLL1,TTLL1,3840
TTLL1-AS1,TTLL1-AS1,96
TTLL12,TTLL12,17674
TTLL8,TTLL8,69
TUBA3FP,TUBA3FP,26
TUBA3GP,TUBA3GP,25
TUBA8,TUBA8,306
TUBGCP6,TUBGCP6,2291
TUG1,TUG1,14332
TXN2,TXN2,66149
TXNRD2,TXNRD2,4215
TYMP,TYMP,227895
U6,U6,1
U7,U7,2
UBE2L3,UBE2L3,69241
UFD1,UFD1,44224
UFD1-AS1,UFD1-AS1,308
UPB1,UPB1,686
UPK3A,UPK3A,1726
UQCR10,UQCR10,12909
UQCRFS1P1,UQCRFS1P1,16905
USP10P3,USP10P3,100
USP18,USP18,65771
USP41P,USP41P,58
VN1R9P,VN1R9P,1
VPREB1,VPREB1,102
VPREB3,VPREB3,3735
VWFP1,VWFP1,2
WBP2NL,WBP2NL,95
WNT7B,WNT7B,214
XBP1,XBP1,245017
XKR3,XKR3,874
XPNPEP3,XPNPEP3,2116
XRCC6,XRCC6,129113
YDJC,YDJC,12629
YES1P1,YES1P1,46
YPEL1,YPEL1,1594
YWHAH,YWHAH,262350
YWHAH-AS1,YWHAH-AS1,102
Y_RNA,Y_RNA,273
ZBED4,ZBED4,2978
ZC3H7B,ZC3H7B,1547
ZDHHC8,ZDHHC8,2023
ZMAT5,ZMAT5,23570
ZNF280A,ZNF280A,12
ZNF280B,ZNF280B,1616
ZNF402P,ZNF402P,26
ZNF70,ZNF70,269
ZNF73P,ZNF73P,3
ZNF74,ZNF74,1187
ZNRF3,ZNRF3,507
ZNRF3-AS1,ZNRF3-AS1,20
ZNRF3-IT1,ZNRF3-IT1,2
